GEOID,NAME,incomeE,incomeM,povE,povM,povdenE,povdenM,pov_rate,pov_moe
48055,"Caldwell County, Texas",69758,5400,6133,1164,46527,226,0.1318159348335375,0.025009536887716566
48445,"Terry County, Texas",44100,2716,1991,446,10860,75,0.18333333333333332,0.04104861842883769
48497,"Wise County, Texas",93421,4689,6536,1149,73520,250,0.08890097932535365,0.015625476429560973
48069,"Castro County, Texas",56776,10779,1390,307,7243,5,0.19190942979428413,0.04238554472385563
48309,"McLennan County, Texas",66643,1952,42565,2647,256700,300,0.16581612777561355,0.010309826776529073
48331,"Milam County, Texas",66141,6831,3241,654,25039,18,0.12943807660050322,0.026119088216782365
48091,"Comal County, Texas",101889,2995,11813,1489,182313,226,0.06479515997213584,0.00816687779164216
48183,"Gregg County, Texas",66550,2015,19597,1862,121689,194,0.1610416718027102,0.01529914683787472
48195,"Hansford County, Texas",69441,9481,433,151,5048,11,0.08577654516640254,0.029912252783746117
48353,"Nolan County, Texas",50747,3546,3165,650,14061,74,0.22509067633880947,0.046211972474180456
48031,"Blanco County, Texas",92425,6033,1038,361,12301,68,0.08438338346475896,0.029343500041086306
48297,"Live Oak County, Texas",57150,13763,1717,415,10063,52,0.1706250621087151,0.04123076062838068
48179,"Gray County, Texas",59614,5857,3036,533,19315,85,0.1571835361118302,0.027586462334140673
48123,"DeWitt County, Texas",63730,7622,3203,515,18199,75,0.1759986812462223,0.02828896146463629
48285,"Lavaca County, Texas",63240,5166,2304,386,20119,21,0.11451861424524082,0.019185471859768464
48247,"Jim Hogg County, Texas",42211,3821,1451,515,4617,58,0.31427333766515053,0.11147440363543333
48045,"Briscoe County, Texas",45417,13842,217,83,1292,136,0.16795665634674922,0.061760817494143014
48383,"Reagan County, Texas",57813,16497,380,219,3224,3,0.11786600496277916,0.06792795115993801
48283,"La Salle County, Texas",57716,17385,1222,572,5698,122,0.21446121446121447,0.10028102619347355
48205,"Hartley County, Texas",75841,15329,358,197,3817,56,0.09379093528949436,0.05159286635178383
48033,"Borden County, Texas",65625,21776,53,35,713,135,0.07433380084151472,0.04702741360352536
48321,"Matagorda County, Texas",58628,4363,7453,1275,35957,47,0.2072753566760297,0.03545798541706368
48337,"Montague County, Texas",64545,5667,2947,506,20767,15,0.1419078345451919,0.024365364409643864
48077,"Clay County, Texas",80114,7097,870,225,10375,55,0.08385542168674699,0.02168219047424955
48295,"Lipscomb County, Texas",72560,7053,328,88,2861,16,0.11464522894092974,0.03075179310144096
48079,"Cochran County, Texas",45313,11121,678,167,2442,30,0.27764127764127766,0.06830145677972273
48487,"Wilbarger County, Texas",54102,9748,2121,595,12148,20,0.17459664142245637,0.04897841234716677
48117,"Deaf Smith County, Texas",60799,5480,3213,891,18187,71,0.17666465057458625,0.04898618278309373
48489,"Willacy County, Texas",54180,8228,4393,917,18332,176,0.23963560986253546,0.04996888406113959
48479,"Webb County, Texas",63058,2420,56731,3605,266254,369,0.21307097733742966,0.013536482202729166
48201,"Harris County, Texas",74983,639,777921,15551,4786324,2391,0.16252994991563463,0.003248034128193415
48165,"Gaines County, Texas",74132,12194,1506,466,22037,15,0.06833961065480783,0.021146202863886753
48369,"Parmer County, Texas",69735,9395,977,276,9611,40,0.10165435438559983,0.028713978346506325
48147,"Fannin County, Texas",72295,5678,4715,654,34296,143,0.13747958945649638,0.01906066143514757
48111,"Dallam County, Texas",71500,9289,833,398,7261,5,0.11472249001514943,0.054813329657616386
48085,"Collin County, Texas",121600,1883,71971,4097,1154388,547,0.062345589177988686,0.003548943736704064
48431,"Sterling County, Texas",64954,18855,62,42,1434,172,0.043235704323570434,0.02882594050198099
48209,"Hays County, Texas",89097,2532,31591,2368,260378,715,0.12132745470047393,0.009088365706921548
48121,"Denton County, Texas",111498,1485,68444,3720,967766,338,0.07072370800379431,0.003843825050712012
48303,"Lubbock County, Texas",64155,1951,52494,2912,306150,371,0.17146496815286624,0.009509407444610476
48399,"Runnels County, Texas",62632,4391,1060,274,9651,31,0.10983317790902497,0.02838864825762544
48259,"Kendall County, Texas",114962,8014,2405,685,47818,90,0.050294868041323354,0.014324836755253747
48325,"Medina County, Texas",78074,4066,4918,1125,51049,189,0.09633881172990656,0.02203476351246002
48249,"Jim Wells County, Texas",51896,6825,9492,1223,38498,24,0.246558262766897,0.03176751219443357
48193,"Hamilton County, Texas",58219,7670,1347,424,8180,42,0.16466992665036675,0.05182684467811001
48293,"Limestone County, Texas",60573,2038,3669,483,21500,107,0.17065116279069767,0.022449057011691455
